age,value
19.58,0.79
19.599,0.69
19.616,0.64
19.64,0.43
19.652,0.78
19.67,0.85
19.69,0.84
19.69,0.83
19.692,0.87
19.697,0.83
19.71,0.88
19.722,0.72
19.745,0.79
19.767,0.81
19.793,0.61
19.815,0.77
19.831,0.74
19.848,0.88
19.866,0.75
19.89,0.81
19.92,0.76
19.941,0.64
19.952,0.77
19.966,0.66
19.985,0.75
19.992,0.6
20,0.65
20.017,0.65
20.03,0.51
20.05,0.81
20.063,0.66
20.071,0.62
20.083,0.6
20.1,0.58
20.127,0.63
20.157,0.73
20.173,0.69
20.188,0.81
20.2,0.7
20.21,0.88
20.23,0.76
20.248,0.71
20.273,0.79
20.291,0.64
20.31,0.73
20.33,0.65
20.35,0.67
20.367,0.69
20.385,0.65
20.4,0.72
20.426,0.6
20.448,0.61
20.47,0.76
20.488,0.52
20.503,0.79
20.529,0.73
20.544,0.76
20.56,0.82
20.578,0.93
20.6,0.71
20.617,0.73
20.63,0.85
20.643,0.75
20.661,0.93
20.663,0.95
20.665,0.97
20.668,0.95
20.668,0.91
20.678,0.84
20.7,0.85
20.72,0.73
20.74,0.72
20.755,0.72
20.768,0.81
20.78,0.6
20.81,0.66
20.83,0.68
20.858,0.75
20.88,0.78
20.909,0.76
20.933,0.77
20.967,0.8
20.984,0.84
21.005,0.67
21.027,0.9
21.047,0.76
21.076,0.74
21.094,0.91
21.121,0.91
21.131,0.91
21.14,0.9
21.156,0.78
21.173,0.83
21.2,0.74
21.22,0.76
21.236,0.85
21.259,0.77
21.277,1.02
21.3,0.89
21.323,0.97
21.344,1.04
21.36,0.82
21.377,0.73
21.392,1
21.41,0.8
21.43,0.88
21.443,0.85
21.453,0.8
21.47,0.69
21.483,0.76
21.497,0.7
21.515,0.77
21.53,0.71
21.548,0.65
21.562,0.56
21.576,0.78
21.589,0.69
21.6,0.82
21.611,0.64
21.624,0.69
21.63,0.63
21.642,0.84
21.656,0.83
21.668,0.99
21.684,0.91
21.694,1.03
21.704,1.1
21.717,0.88
21.726,1
21.739,1.06
21.75,1.03
21.76,1.1
21.772,1.06
21.784,1.15
21.792,1.19
21.804,1.23
21.818,1.3
21.83,1.29
21.847,1.19
21.865,1.08
21.883,1.17
21.894,1.11
21.906,1.08
21.919,0.98
21.933,1.1
21.945,1.01
21.959,1.03
21.97,1.19
21.981,1.05
21.99,1.21
22,1.01
22.024,1.03
22.035,1.01
22.051,1.17
22.067,1.26
22.084,1.16
22.098,1.3
22.111,1.24
22.123,1.2
22.13,1.28
22.14,1.32
22.15,1.25
22.16,1.27
22.172,1.42
22.188,1.34
22.204,1.25
22.22,1.43
22.234,1.34
22.246,1.24
22.26,1.38
22.27,1.26
22.28,1.3
22.29,1.39
22.305,1.11
22.32,1.19
22.333,1.2
22.348,1.33
22.357,1.21
22.367,1.16
22.379,1.27
22.388,1.25
22.4,1.21
22.41,1.27
22.42,1.25
22.431,1.23
22.441,1.3
22.45,1.12
22.46,1.28
22.47,1.2
22.48,1.3
22.491,1.15
22.495,0.74
22.495,0.77
22.504,1.26
22.52,1.4
22.53,1.33
22.538,1.31
22.55,1.26
22.557,1.37
22.565,1.14
22.571,1.28
22.588,1.2
22.599,1.25
22.605,1.17
22.614,1.31
22.624,1.13
22.634,1.15
22.65,1.13
22.66,1.27
22.67,1.21
22.68,1.15
22.695,1.2
22.703,1.18
22.71,1.09
22.72,1.11
22.729,1.16
22.736,1.14
22.743,1.14
22.752,1.11
22.762,1.04
22.77,1.06
22.78,1.04
22.789,1.2
22.792,1.12
22.8,1.23
22.81,1.11
22.818,1.28
22.83,1.35
22.848,1.25
22.86,1.37
22.87,1.3
22.878,1.12
22.885,1.25
22.893,1.29
22.904,1.37
22.91,1.29
22.918,1.24
22.93,1.19
22.94,1.35
22.946,1.26
22.954,1.36
22.96,1.4
22.969,1.43
22.978,1.27
22.989,1.39
22.994,1.2
23.003,1.28
23.011,1.38
23.018,1.16
23.028,1.28
23.044,1.35
23.054,1.29
23.065,1.16
23.072,1.25
23.079,1.23
23.088,1.12
23.098,1.17
23.107,1.14
23.116,1.13
23.127,1.01
23.134,1.12
23.142,0.99
23.155,0.85
23.165,0.96
23.176,0.89
23.185,1.01
23.194,1.01
23.204,0.99
23.213,0.91
23.223,0.98
23.232,0.88
23.242,0.94
23.251,0.93
23.26,0.76
23.272,0.9
23.282,0.81
23.292,0.77
23.303,0.96
23.312,0.81
23.325,0.85
23.336,0.97
23.344,0.82
23.358,0.82
23.369,0.94
23.377,0.84
23.387,0.96
23.396,1.04
23.411,1.07
23.419,0.99
23.43,0.93
23.444,1.12
23.454,1.06
23.461,1
23.471,0.98
23.479,1.01
23.49,1.05
23.498,1.06
23.511,1
23.521,0.82
23.529,0.99
23.538,0.97
23.546,0.86
23.556,0.97
23.566,0.95
23.575,0.88
23.585,0.93
23.594,1.09
23.605,0.71
23.611,0.86
23.624,0.81
23.634,0.99
23.643,0.92
23.65,0.76
23.659,0.66
23.666,0.76
23.672,0.88
23.682,0.87
23.692,0.72
23.7,0.79
23.707,0.67
23.714,0.74
23.721,0.54
23.728,0.66
23.736,0.73
23.745,0.78
23.754,0.66
23.76,0.7
23.771,0.71
23.78,0.72
23.789,0.75
23.798,0.73
23.809,0.72
23.818,0.67
23.826,0.72
23.834,0.78
23.846,0.65
23.856,0.73
23.865,0.77
23.876,0.69
23.885,0.79
23.895,0.78
23.904,0.79
23.913,0.7
23.923,0.7
23.929,0.66
23.935,0.75
23.944,0.61
23.953,0.66
23.962,0.75
23.973,0.75
23.981,0.68
23.988,0.81
23.995,0.66
24.007,0.69
24.018,0.69
24.025,0.59
24.038,0.63
24.045,0.59
24.054,0.52
24.059,0.65
24.068,0.48
24.073,0.7
24.084,0.64
24.095,0.71
24.1,0.62
24.107,0.64
24.118,0.66
24.127,0.59
24.143,0.7
24.157,0.79
24.169,0.71
24.182,0.58
24.193,0.8
24.206,0.77
24.215,0.79
24.226,0.88
24.243,0.81
24.254,0.8
24.263,0.73
24.273,0.7
24.283,0.61
24.291,0.69
24.3,0.76
24.311,0.83
24.311,0.85
24.312,0.83
24.312,0.78
24.312,0.78
24.317,0.62
24.326,0.69
24.334,0.74
24.342,0.62
24.351,0.62
24.358,0.73
24.364,0.55
24.372,0.59
24.38,0.56
24.389,0.64
24.399,0.53
24.409,0.58
24.423,0.56
24.432,0.6
24.444,0.68
24.454,0.52
24.463,0.63
24.474,0.59
24.485,0.59
24.495,0.7
24.508,0.69
24.516,0.71
24.525,0.77
24.534,0.63
24.543,0.63
24.555,0.66
24.564,0.58
24.578,0.68
24.587,0.65
24.597,0.64
24.607,0.61
24.619,0.59
24.627,0.65
24.637,0.73
24.647,0.66
24.659,0.6
24.672,0.74
24.681,0.57
24.695,0.45
24.703,0.64
24.711,0.53
24.723,0.46
24.733,0.63
24.742,0.49
24.752,0.67
24.761,0.55
24.77,0.58
24.781,0.67
24.794,0.52
24.808,0.5
24.823,0.51
24.84,0.7
24.852,0.69
24.867,0.72
24.891,0.61
24.911,0.57
24.929,0.68
24.945,0.63
24.962,0.67
24.98,0.69
24.993,0.57
25.008,0.61
25.027,0.46
25.045,0.44
25.065,0.57
25.081,0.44
25.096,0.49
25.114,0.59
25.132,0.53
25.156,0.54
25.172,0.43
25.189,0.69
25.211,0.64
25.212,0.65
25.212,0.61
25.212,0.62
25.216,0.68
25.216,0.66
25.217,0.68
25.22,0.69
25.22,0.68
25.222,0.66
25.222,0.6
25.236,0.68
25.255,0.67
25.27,0.69
25.286,0.58
25.306,0.59
25.328,0.62
25.362,0.6
25.378,0.68
25.397,0.63
25.411,0.59
25.423,0.78
25.432,0.76
25.446,0.59
25.456,0.7
25.468,0.76
25.48,0.79
25.493,0.74
25.503,0.79
25.512,0.74
25.525,0.66
25.541,0.83
25.558,0.72
25.575,0.82
25.589,0.89
25.608,0.71
25.625,0.74
25.644,0.74
25.659,0.89
25.676,0.71
25.693,0.86
25.707,0.74
25.718,0.66
25.728,0.67
25.745,0.66
25.755,0.61
25.764,0.6
25.773,0.52
25.786,0.49
25.797,0.44
25.81,0.65
25.823,0.34
25.839,0.27
25.858,0.56
25.871,0.63
25.888,0.59
25.904,0.34
25.92,0.68
25.937,0.57
25.953,0.56
25.965,0.6
25.983,0.58
25.996,0.35
26.017,0.56
26.029,0.41
26.044,0.44
26.062,0.43
26.082,0.59
26.099,0.64
26.12,0.42
26.138,0.42
26.157,0.68
26.165,0.71
26.179,0.71
26.199,0.6
26.212,0.58
26.222,0.45
26.235,0.86
26.252,0.76
26.265,0.69
26.276,0.7
26.286,0.64
26.3,0.7
26.31,0.64
26.324,0.31
26.338,0.49
26.355,0.8
26.373,0.59
26.401,0.52
26.418,0.57
26.433,0.64
26.448,0.73
26.468,0.6
26.489,0.54
26.512,0.74
26.528,0.7
26.548,0.58
26.567,0.63
26.592,0.63
26.639,0.85
26.698,0.68
26.757,0.73
26.795,0.68
26.827,0.62
26.827,0.67
26.827,0.69
26.827,0.71
26.847,0.67
26.91,0.61
26.965,0.72
27.009,0.46
27.047,0.55
27.1,0.59
27.149,0.47
27.217,0.48
27.273,0.57
27.317,0.58
27.354,0.58
27.385,0.75
27.414,0.62
27.441,0.72
27.462,0.7
27.48,0.53
27.504,0.41
27.541,0.5
27.592,0.58
27.647,0.43
27.688,0.3
27.739,0.5
27.772,0.59
27.794,0.58
27.839,0.58
27.88,0.72
27.932,0.53
27.97,0.55
28.006,0.4
28.038,0.26
28.074,0.49
28.117,0.27
28.15,0.25
28.192,0.41
28.117,0.27
28.143,0.4
28.172,0.59
28.206,0.5
28.233,0.51
28.27,0.59
28.289,0.48
28.326,0.35
28.35,0.45
28.386,0.19
28.425,0.3
28.461,0.25
28.49,0.32
28.508,0.23
28.532,0.38
28.562,0.26
28.592,0.5
28.616,0.5
28.644,0.37
28.667,0.41
28.705,0.34
28.732,0.44
28.751,0.43
28.764,0.38
28.804,0.41
28.831,0.52
28.864,0.37
28.897,0.42
28.926,0.41
28.928,0.42
28.931,0.44
28.933,0.43
28.936,0.42
28.956,0.36
28.979,0.43
29.009,0.4
29.03,0.29
29.046,0.49
29.063,0.45
29.088,0.15
29.098,0.17
29.115,0.4
29.135,0.34
29.15,0.5
29.175,0.47
29.212,0.34
29.235,0.33
29.254,0.47
29.285,0.4
29.316,0.61
29.353,0.48
29.374,0.46
29.389,0.37
29.413,0.35
29.455,0.26
29.493,0.17
29.523,0.43
29.565,0.37
29.604,0.39
29.625,0.45
29.667,0.5
29.704,0.53
29.725,0.63
29.744,0.57
29.763,0.49
29.79,0.64
29.818,0.63
29.842,0.53
29.873,0.55
29.908,0.65
29.911,0.61
29.915,0.61
29.916,0.5
29.943,0.49
29.978,0.49
30.013,0.52
30.042,0.48
30.073,0.48
30.098,0.64
30.123,0.57
30.145,0.67
30.182,0.56
30.221,0.61
30.263,0.77
30.281,0.74
30.317,0.57
30.353,0.61
30.387,0.63
30.422,0.78
30.448,0.6
30.496,0.56
30.537,0.55
30.566,0.65
30.601,0.75
30.625,0.81
30.644,0.85
30.665,0.86
30.679,0.88
30.696,0.83
30.713,0.94
30.731,0.85
30.755,0.74
30.772,0.77
30.794,0.86
30.81,0.83
30.824,0.79
30.845,0.99
30.864,1.01
30.88,1.02
30.894,0.94
30.909,0.9
30.922,0.79
30.937,0.9
30.956,0.9
30.974,1.03
30.991,0.96
31.002,0.72
31.02,0.97
31.039,0.84
31.057,0.89
31.075,0.78
31.106,0.95
31.126,0.9
31.145,0.88
31.161,0.97
31.182,0.89
31.194,1.02
31.214,0.9
31.229,0.9
31.248,0.97
31.268,0.75
31.285,0.65
31.3,0.77
31.315,0.78
31.329,0.72
31.346,0.8
31.357,0.8
31.367,0.71
31.381,0.75
31.392,0.81
31.406,0.87
31.418,0.9
31.435,0.94
31.453,0.98
31.471,0.81
31.484,0.88
31.501,0.86
31.515,0.89
31.533,0.97
31.549,0.9
31.566,0.85
31.582,0.87
31.605,0.89
31.628,0.82
31.648,0.72
31.664,0.82
31.682,0.77
31.703,0.83
31.715,0.92
31.727,0.77
31.734,0.76
31.734,0.75
31.736,0.73
31.738,0.75
31.738,0.8
31.741,0.78
31.742,0.79
31.745,0.73
31.756,0.76
31.774,0.68
31.79,0.73
31.806,0.9
31.817,0.78
31.834,0.87
31.853,0.81
31.863,0.86
31.874,0.9
31.884,0.91
31.897,0.95
31.908,0.91
31.922,0.98
31.939,0.99
31.959,0.87
31.977,0.94
31.996,0.85
32.016,0.93
32.042,0.9
32.055,0.99
32.07,0.87
32.083,0.78
32.097,0.74
32.117,0.84
32.13,0.78
32.142,0.8
32.156,0.8
32.17,0.89
32.192,0.87
32.216,0.88
32.235,0.83
32.257,0.85
32.277,0.88
32.296,0.9
32.306,1.08
32.322,0.93
32.341,0.91
32.352,0.93
32.366,0.97
32.378,0.93
32.391,0.95
32.406,0.99
32.42,0.83
32.435,0.91
32.448,1.16
32.46,0.94
32.469,1.02
32.49,0.93
32.515,0.87
32.53,0.91
32.55,1
32.562,1.03
32.573,1.1
32.59,0.95
32.603,1.05
32.618,1.05
32.635,0.93
32.658,0.97
32.685,0.98
32.712,0.97
32.725,1.07
32.747,0.99
32.772,1.06
32.794,1.11
32.811,0.96
32.825,0.95
32.846,1.01
32.862,1.03
32.889,0.96
32.913,1
32.937,1.15
32.964,1.05
32.986,0.97
33.002,1.08
33.017,0.98
33.038,1.07
33.064,1.13
33.083,1.17
33.099,1.14
33.115,1.17
33.14,1.21
33.172,1.16
33.187,1.29
33.197,1.62
33.204,1.37
33.225,1.37
33.24,1.4
33.249,1.38
33.262,1.48
33.284,1.41
33.299,1.35
33.318,1.38
33.338,1.33
33.358,1.29
33.38,1.23
33.39,1.29
33.411,1.32
33.427,1.36
33.444,1.38
33.462,1.45
33.484,1.41
33.502,1.43
33.518,1.5
33.537,1.47
33.556,1.46
33.559,1.5
33.568,1.57
33.569,1.7
33.576,1.52
33.585,1.52
33.591,1.39
33.595,1.5
33.603,1.65
33.606,1.63
33.61,1.54
33.613,1.63
33.618,1.6
33.621,1.52
33.625,1.5
33.63,1.47
33.635,1.47
33.637,1.41
33.643,1.37
33.653,1.49
33.658,1.54
33.665,1.48
33.671,1.55
33.673,1.48
33.68,1.34
33.683,1.42
33.69,1.28
33.698,1.28
33.703,1.64
33.704,1.43
33.709,1.36
33.72,1.44
33.724,1.41
33.726,1.28
33.73,1.46
33.736,1.28
33.739,1.27
33.746,1.16
33.749,1.12
33.756,1.08
33.76,1.11
33.765,1.21
33.774,1.25
33.78,1.2
33.784,1.13
33.79,1.2
33.793,1.13
33.8,1.1
33.8,1.13
33.807,1.08
33.811,1.04
33.818,1.1
33.819,1.15
33.826,1.02
33.829,1.08
33.834,1.06
33.843,1.15
33.847,1.25
33.851,1.21
33.857,1.05
33.86,1.2
33.868,1.11
33.876,1.02
33.882,1.13
33.885,1.08
33.892,1.1
33.894,1.2
33.9,1.31
33.902,1.25
33.909,1.15
33.919,1.08
33.924,1.07
33.933,1.01
33.937,1.12
33.941,1.27
33.951,1.11
33.952,1.04
33.958,1.04
33.963,1.07
33.969,1
33.973,1.01
33.99,0.8
34,0.98
34.001,1.19
34.011,0.96
34.012,0.85
34.027,0.94
34.027,1.13
34.035,1.12
34.037,1.15
34.045,1.09
34.051,1.06
34.053,1.14
34.059,0.96
34.074,0.75
34.076,0.88
34.085,0.95
34.091,0.88
34.094,0.79
34.098,0.89
34.106,0.86
34.117,0.85
34.132,0.92
34.143,0.91
34.154,0.97
34.162,0.99
34.175,0.89
34.178,1.04
34.178,1.12
34.184,0.92
34.191,0.89
34.192,0.83
34.202,0.63
34.211,0.64
34.215,0.75
34.231,0.7
34.232,0.66
34.25,0.82
34.262,0.67
34.271,0.65
34.279,0.88
34.283,0.91
34.305,0.93
34.312,0.98
34.328,0.95
34.354,0.86
34.374,0.92
34.392,0.95
34.406,1
34.409,0.93
34.43,0.99
34.436,1.02
34.446,1.2
34.455,1.01
34.474,0.99
34.481,0.98
34.496,0.94
34.512,0.83
34.526,0.86
34.538,0.95
34.554,0.93
34.557,0.93
34.578,0.89
34.585,1.03
34.592,1.02
34.613,0.88
34.625,0.83
34.648,0.95
34.654,0.92
34.665,0.99
34.679,0.97
34.688,0.87
34.699,0.83
34.705,0.79
34.713,0.77
34.729,0.88
34.745,0.99
34.753,1
34.759,0.87
34.775,0.9
34.787,0.97
34.805,1.01
34.818,1.14
34.826,1.13
34.843,1.06
34.872,1.09
34.88,1.18
34.904,1.09
34.933,1
34.97,1.02
34.987,1.16
35.024,1.04
35.033,1.12
35.052,1.18
35.062,1
35.085,0.9
35.113,1.14
35.135,1.27
35.154,1.02
35.175,0.96
35.189,1.1
35.204,1.16
35.223,1.03
35.251,1.13
35.259,1.13
35.266,1.09
35.277,1.11
35.294,0.97
35.212,1.09
35.224,1.26
35.237,1.22
35.252,1.05
35.26,1.11
35.273,1.28
35.29,1.13
35.295,1.08
35.318,1.22
35.349,1.03
35.363,0.98
35.381,1.04
35.391,1.03
35.406,0.99
35.428,1.08
35.441,1.12
35.467,0.99
35.49,1
35.507,1.04
35.551,1.06
35.567,1.09
35.579,1.06
35.593,0.93
35.619,0.84
35.646,0.78
35.683,0.89
35.701,0.75
35.745,0.68
35.756,0.84
35.765,0.85
35.791,0.68
35.868,0.77
35.882,0.83
35.906,0.77
35.944,0.54
35.957,0.71
35.986,0.83
36.014,0.92
36.039,0.83
36.066,0.96
36.074,1
36.079,1.17
36.102,1.14
36.113,1.04
36.131,0.94
36.16,1.07
36.179,1.01
36.198,1.01
36.243,0.9
36.27,0.83
36.294,1.13
36.307,1.37
36.317,1.2
36.32,1.51
36.324,1.6
36.325,1.48
36.328,1.44
36.333,1.27
36.337,1.36
36.345,1.39
36.353,1.51
36.359,1.28
36.363,1.19
36.367,1.33
36.37,1.57
36.377,1.53
36.397,1.25
36.403,1.11
36.415,1.31
36.422,1.63
36.439,1.57
36.453,1.45
36.467,1.38
36.476,1.37
36.479,1.39
36.481,1.38
36.484,1.28
36.487,1.24
36.49,1.18
36.491,1.16
36.501,1.36
36.525,1.24
36.538,1.22
36.559,1.27
36.565,1.1
36.577,1.16
36.584,1.16
36.591,1.12
36.595,1.2
36.609,1.22
36.616,1.21
36.62,1.17
36.622,1.07
36.623,1.09
36.626,1.29
36.629,1.16
36.632,1.14
36.634,1.24
36.636,1.26
36.64,1.23
36.647,1.14
36.653,1.04
36.66,1.02
36.664,1
36.667,0.96
36.671,0.89
36.678,0.79
36.684,0.83
36.688,0.82
36.702,0.76
36.705,0.78
36.709,0.83
36.715,1.01
36.732,1.3
36.739,1.28
36.744,1.1
36.749,1.09
36.754,1.28
36.761,1.43
36.769,1.3
36.773,1.32
36.781,1.28
36.786,1.1
36.791,1.13
36.792,1.21
36.793,1.27
36.799,1.39
36.803,1.43
36.805,1.33
36.808,1.31
36.81,1.25
36.813,1.22
36.817,1.21
36.82,1.24
36.825,1.24
36.831,1.22
36.837,1.11
36.844,1.15
36.849,1.25
36.857,1.19
36.862,1.05
36.865,1.11
36.871,1.11
36.876,1.18
36.883,1.15
36.89,1.22
36.893,1.13
36.894,0.93
36.903,1.05
36.91,1.13
36.918,0.99
36.923,0.99
36.927,1.16
36.932,0.94
36.937,0.79
36.942,0.93
36.949,0.98
36.959,0.97
36.969,0.9
36.974,1
36.983,0.82
37.006,0.9
37.013,0.92
37.018,0.92
37.025,0.92
37.03,0.95
37.037,0.98
37.047,0.95
37.054,0.82
37.059,0.98
37.072,1.07
37.079,0.99
37.084,0.91
37.091,0.9
37.096,1.11
37.106,0.99
37.109,0.79
37.111,0.92
37.116,1.08
37.125,0.99
37.134,0.82
37.142,0.88
37.15,0.98
37.157,0.96
37.167,1.02
37.177,1.02
37.211,1.08
37.218,1.09
37.228,1.08
37.238,1.01
37.25,1.02
37.257,0.94
37.27,1.06
37.277,1.01
37.284,1.04
37.295,0.89
37.438,0.76
37.652,0.74
37.73,0.72
37.802,0.88
37.893,0.92
37.95,0.89
37.988,0.8
38.055,0.77
38.159,0.76
38.206,0.63
38.283,0.73
38.301,0.92
38.372,0.78
38.462,0.69
38.501,0.88
38.576,0.8
38.638,0.73
38.676,0.68
38.73,0.64
38.822,0.71
38.9,0.7
38.99,0.61
39.038,0.64
39.042,0.9
39.073,0.72
39.157,0.83
39.164,0.88
39.178,0.66
39.212,0.71
39.284,0.67
39.301,0.74
39.325,0.76
39.342,0.74
39.374,0.69
39.393,0.69
39.444,0.87
39.462,1.1
39.475,0.94
39.502,0.73
39.562,0.99
39.576,1.11
39.591,1
39.606,1.07
39.623,1.07
39.63,1.02
39.643,0.94
39.653,1.08
39.662,1.24
39.67,0.98
39.678,1.05
39.686,1.21
39.711,1.08
39.712,0.95
39.739,1.12
39.752,1.2
39.758,1.13
39.771,1.12
39.779,1.17
39.787,1.14
39.803,1.1
39.814,1.13
39.824,1.21
39.831,1.18
39.843,1.12
39.845,1.17
39.851,1.23
39.855,1.18
39.867,1.3
39.881,1.35
39.888,1.41
39.896,1.34
39.905,1.35
39.909,1.46
39.916,1.38
39.923,1.42
39.925,1.36
39.927,1.24
39.931,1.34
39.939,1.35
39.951,1.26
39.958,1.25
39.97,1.33
39.971,1.31
39.978,1.31
39.987,1.38
39.998,1.39
40.009,1.41
40.018,1.35
40.023,1.3
40.034,1.3
40.042,1.21
40.047,1.2
40.057,1.18
40.065,1.21
40.074,1.17
40.079,1.12
40.087,1.11
40.095,1.23
40.103,1.19
40.112,1.22
40.12,1.2
40.124,1.15
40.127,1.2
40.136,0.95
40.143,0.9
40.151,1.07
40.159,0.92
40.167,0.85
40.173,0.75
40.18,0.61
40.186,0.87
40.198,1.14
40.206,1.12
40.219,1.06
40.222,1.04
40.229,1
40.235,1.07
40.241,1.01
40.243,1.05
40.248,1.05
40.259,1.03
40.27,0.9
40.28,0.88
40.286,1.02
40.293,1.06
40.303,0.93
40.304,1.01
40.319,1.01
40.326,1.15
40.331,1.2
40.345,1.09
40.349,0.92
40.354,0.96
40.363,1.12
40.368,1.13
40.381,1.11
40.394,1.08
40.403,0.98
40.405,1.09
40.412,1.14
40.427,0.84
40.433,0.7
40.434,0.91
40.444,0.99
40.45,1
40.456,0.91
40.467,0.91
40.478,0.99
40.49,1
40.494,0.88
40.497,1.01
40.502,0.98
40.512,0.78
40.518,0.76
40.525,0.76
40.532,0.54
40.532,0.68
40.545,0.91
40.553,0.71
40.557,0.98
40.563,0.97
40.574,1.04
40.591,0.74
40.596,0.73
40.608,1.04
40.617,0.82
40.617,0.75
40.625,0.81
40.641,0.87
40.652,0.95
40.669,0.96
40.676,0.73
40.679,0.67
40.685,0.78
40.689,0.62
40.705,0.63
40.721,0.56
40.732,0.78
40.732,0.75
40.739,0.75
40.758,0.68
40.776,0.65
40.794,0.73
40.822,0.78
40.83,0.79
40.848,0.73
40.85,0.71
40.864,0.57
40.884,0.81
40.897,0.75
40.919,0.72
40.937,0.9
40.943,0.81
40.957,0.63
40.963,0.8
40.974,0.65
41.003,0.57
41.007,0.75
41.025,0.73
41.047,0.74
41.057,0.82
41.065,0.68
41.093,0.69
41.105,0.61
41.118,0.63
41.14,0.59
41.169,0.64
41.183,0.78
41.187,0.73
41.212,0.51
41.232,0.56
41.244,0.74
41.28,0.73
41.297,0.65
41.332,0.7
41.353,0.78
41.408,0.76
41.48,0.47
41.506,0.49
41.549,0.65
41.574,0.71
41.583,0.75
41.635,0.68
41.673,0.73
41.739,0.72
41.751,0.52
41.872,0.68
41.914,0.56
41.938,0.7
41.979,0.75
42.079,0.76
42.113,0.77
42.145,0.64
42.202,0.43
42.242,0.46
42.278,0.6
42.322,0.59
42.377,0.72
42.398,0.77
42.44,0.59
42.453,0.62
42.47,0.8
42.499,0.7
42.511,0.6
42.562,0.64
42.576,0.66
42.617,0.62
42.645,0.71
42.71,0.63
42.719,0.75
42.729,0.76
42.744,0.63
42.776,0.68
42.825,0.79
42.838,0.79
42.888,0.91
42.907,0.83
42.921,0.79
42.994,0.84
43.002,0.89
43.023,0.86
43.097,0.74
43.123,0.72
43.147,0.85
43.182,0.9
43.203,0.93
43.257,0.93
43.276,1.01
43.285,0.9
43.311,0.81
43.357,0.84
43.366,0.75
43.43,0.89
43.515,1.11
43.521,0.93
43.535,0.87
43.545,0.78
43.603,0.49
43.617,0.51
43.646,0.67
43.75,0.94
43.769,0.74
43.865,0.57
43.943,0.58
43.972,0.56
44.031,0.68
44.119,0.71
44.194,0.52
44.375,0.52
44.383,0.58
44.455,0.65
44.493,0.53
44.519,0.77
44.552,0.72
44.603,0.49
44.672,0.63
44.702,0.43
44.795,0.56
44.847,0.7
44.858,0.59
45.006,0.61
45.044,0.74
45.127,0.69
45.134,0.7
45.211,0.55
45.231,0.52
45.252,0.63
45.276,0.65
45.317,0.68
45.382,0.59
45.465,0.63
45.504,0.61
45.533,0.44
45.587,0.59
45.619,0.74
45.737,0.6
45.76,0.65
45.799,0.89
45.876,0.91
45.963,0.93
46.014,0.75
46.026,0.71
46.124,0.53
46.135,0.59
46.174,0.73
46.241,0.57
46.277,0.53
46.288,0.41
46.355,0.38
46.363,0.54
46.404,0.8
46.435,0.52
46.499,0.53
46.54,0.55
46.612,0.59
46.663,0.65
46.677,0.77
46.724,0.6
46.785,0.59
46.839,0.63
46.866,0.7
46.891,0.62
46.973,0.64
47.031,0.83
47.17,0.75
47.238,0.73
47.276,0.75
47.475,0.73
47.522,0.67
47.554,0.72
47.583,0.82
47.613,0.78
47.659,0.7
47.719,0.65
47.78,0.66
47.793,0.77
47.829,0.94
47.861,0.94
47.894,0.76
47.914,0.74
47.962,0.89
47.982,0.87
48.039,0.6
48.062,0.91
48.112,0.87
48.142,0.69
48.17,0.8
48.206,0.62
48.242,0.61
48.262,0.82
48.337,0.87
48.385,0.83
48.394,1.01
48.465,0.93
48.497,0.96
48.508,0.94
48.519,1.12
48.562,1.06
48.582,0.84
48.614,0.89
48.66,1.04
48.665,0.98
48.691,0.89
48.754,0.92
48.774,0.92
48.799,0.82
48.851,0.66
48.919,0.84
48.932,1.13
49.01,1.11
49.075,0.68
49.108,0.66
49.152,0.83
49.196,0.85
49.24,0.9
49.294,0.97
49.308,0.91
49.366,0.86
49.384,1
49.415,0.87
49.44,0.63
49.499,0.77
49.515,0.94
49.536,1.08
49.552,0.87
49.617,0.84
49.623,0.97
49.677,1.08
49.699,0.92
49.72,0.78
49.766,0.84
49.768,0.86
49.842,0.99
49.913,1.09
49.916,0.99
49.929,0.92
50,0.86
50.098,1.06
50.135,1.21
50.145,1.25
50.207,0.98
50.283,0.85
50.292,0.88
50.311,0.99
50.336,1
50.352,0.99
50.371,0.93
50.389,0.9
50.408,0.84
50.422,0.51
50.423,0.68
50.51,0.97
50.521,0.72
50.592,0.66
50.66,0.57
50.696,0.93
50.768,0.61
50.847,0.5
50.939,0.92
50.958,0.78
51.074,0.6
51.098,0.65
51.1,0.59
51.217,0.61
51.289,0.52
51.291,0.4
51.482,0.44
51.484,0.53
51.557,0.49
51.648,0.18
51.651,0.23
51.756,0.45
51.765,0.23
51.808,0.16
51.962,0.23
51.989,0.37
52.004,0.2
52.074,0.3
52.082,0.55
52.12,0.38
52.167,0.15
52.169,0.16
52.213,0.13
52.258,0.11
52.307,0.2
52.353,0.16
52.401,0.08
52.447,0.22
52.491,0.08
52.51,0.04
52.52,0.08
52.539,0.31
52.561,0.52
52.579,0.31
52.613,0.35
52.633,0.2
52.655,0.19
52.667,0.29
52.702,0.26
52.714,0.16
52.736,0.1
52.768,0.28
52.774,0.25
52.807,0.1
52.827,0.19
52.875,-0.01
52.893,0.01
52.902,-0.05
52.936,0.09
52.965,0.42
52.987,0.44
52.999,0.28
53.053,0.17
53.086,0.17
53.09,0.36
53.099,0.32
53.145,0.32
53.167,0.12
